"Coluna","Descrição"
"Strokes","Número de traços"
"Grade","Ano escolar em que se aprende este kanji"
"Kanji Classification","Uma das 6 categorias (Phonetic, Com. Ideographic, Pictographic, Loan, Ideographic, Original)"
"JLPT-test","Nível do JLPT (prova de japonês)"
"Name of Radical","Nome em romaji"
"Radical Freq.","Frequência do radical"
"Reading within Joyo","Leituras mais comuns divulgadas na lista Joyo Kanji (feita pelo Ministério da Educação Japonês, catalogando os ideogramas utilizados em textos oficiais, imprensa, editores e demais meios de difusão da língua escrita japonesa)"
"Reading beyond Joyo","Leituras que não estão presentes na lista Joyo Kanji (feita pelo Ministério da Educação Japonês, catalogando os ideogramas utilizados em textos oficiais, imprensa, editores e demais meios de difusão da língua escrita japonesa)"
"# of On","Número de leituras Onyomi (geralmente usada em palavras compostas por dois ou mais Kanji)"
"On within Joyo","Número de leituras Onyomi (geralmente usada em palavras compostas por dois ou mais Kanji) presentes na lista Joyo Kanji (feita pelo Ministério da Educação Japonês, catalogando os ideogramas utilizados em textos oficiais, imprensa, editores e demais meios de difusão da língua escrita japonesa)"
"Kanji ID in Nelson","ID do Kanji no dicionário New Nelson Japanese-English"
"# of Meanings of On","Número de significados diferentes de leituras Onyomi (geralmente usada em palavras compostas por dois ou mais Kanji)"
"Translation of On","Tradução de leituras Onyomi (geralmente usada em palavras compostas por dois ou mais Kanji)"
"# of Kun within Joyo with inflections","Número de leituras Kunyomi (geralmente usada em palavras com apenas um Kanji) com inflexões, presentes na lista Joyo Kanji (feita pelo Ministério da Educação Japonês, catalogando os ideogramas utilizados em textos oficiais, imprensa, editores e demais meios de difusão da língua escrita japonesa)"
"# of Kun within Joyo without inflections","Número de leituras Kunyomi (geralmente usada em palavras com apenas um Kanji) sen inflexões, presentes na lista Joyo Kanji (feita pelo Ministério da Educação Japonês, catalogando os ideogramas utilizados em textos oficiais, imprensa, editores e demais meios de difusão da língua escrita japonesa)"
"Kun within Joyo","Número de leituras Kunyomi (geralmente usada em palavras com apenas um Kanji) presentes na lista Joyo Kanji (feita pelo Ministério da Educação Japonês, catalogando os ideogramas utilizados em textos oficiais, imprensa, editores e demais meios de difusão da língua escrita japonesa)"
"# of Meanings of Kun","Número de significados de leituras Kunyomi (geralmente usada em palavras com apenas um Kanji)"
"Translation of Kun","Traduções de signidicados de leituras Kunyomi (geralmente usada em palavras com apenas um Kanji)"
"Year of Inclusion","Ano de inclusão na lista Joyo Kanji (feita pelo Ministério da Educação Japonês, catalogando os ideogramas utilizados em textos oficiais, imprensa, editores e demais meios de difusão da língua escrita japonesa)"
"Kanji Frequency with Proper Nouns","Frequência do kanji em nomes próprios"
